,Macroregião,ano,capacidade,Dependência_união,Dependência_estadual,Dependência_sus_união,Dependência_sus_estado
0, Cariri,2013,0.0993179759006613,0.6581780758036231,0.24168305357289294,0.9655990573294578,0.027345707231737498
1, Cariri,2014,0.12251755311598293,0.6473734504516565,0.258646909935099,0.929630406595841,0.07580818157332594
2, Cariri,2015,0.1361073427016358,0.6445059194970015,0.2470257675177073,0.9476602981171692,0.03968995789574285
3, Cariri,2016,0.12439390467205302,0.6558854791880733,0.2191086292096877,0.9382444921767233,0.05433116095849918
4, Cariri,2017,0.14297166647867623,0.6168941913247458,0.23952922313639577,0.9084780222944144,0.08575882705407542
5, Cariri,2018,0.1484884846444354,0.6045692133303849,0.24694244313540642,0.9468746471240779,0.05073991091771845
6, Cariri,2019,0.14252898553641313,0.6048265170224063,0.2526437226525943,0.9581471211081143,0.03673373401939031
7, Fortaleza,2013,0.31649740451891506,0.3249128784907274,0.3573958086511561,0.9547154125400062,0.037422453946313015
8, Fortaleza,2014,0.3430935422079307,0.31271925238262194,0.34314306723715354,0.918797598348175,0.0711106714281507
9, Fortaleza,2015,0.3578398138829052,0.3063441044177884,0.33483368926151186,0.9174628325991543,0.07155603656345182
10, Fortaleza,2016,0.3434106833669472,0.32837417180317635,0.3273120358243681,0.9119749968930517,0.07878756436179064
11, Fortaleza,2017,0.3587768385044184,0.29945850835137516,0.3409072749817132,0.9114537024864282,0.08265769643759777
12, Fortaleza,2018,0.3627425980179498,0.2966515074336725,0.3406057748096802,0.8876666313837983,0.08763086036038172
13, Fortaleza,2019,0.3655832989815056,0.29299122276140105,0.34142578020547665,0.9298568331262976,0.06405309505181923
14, Litoral Leste/Jaguaribe,2013,0.03083717890317086,0.6286150214889782,0.33928828900200037,0.9130944470216528,0.08156383605611905
15, Litoral Leste/Jaguaribe,2014,0.058528771595701266,0.5841190475785607,0.356147871037954,0.9321537598903495,0.05768487944676344
16, Litoral Leste/Jaguaribe,2015,0.05420529505789187,0.5859962003131922,0.35863071717770006,0.9651674735977802,0.020595217871400662
17, Litoral Leste/Jaguaribe,2016,0.03268180150689957,0.6235359779326692,0.3427176891384711,0.8958664463777815,0.09435074033796219
18, Litoral Leste/Jaguaribe,2017,0.04222545187264041,0.6520962864588554,0.304824513046674,0.9899622783855149,0.0
19, Litoral Leste/Jaguaribe,2018,0.038395204187892266,0.5895872991190791,0.3720186105091329,0.9822771970358682,0.011814755853596688
20, Litoral Leste/Jaguaribe,2019,0.06726490722392361,0.5497318065813968,0.3830051792469825,0.9880716775833658,0.011927494348434537
21, Sertão Central,2013,0.08887070888710984,0.7066455038165647,0.20378721563472854,0.9346213649341384,0.05412572081826788
22, Sertão Central,2014,0.08836656613332615,0.6929630032509289,0.21798599064185648,0.8252747658228539,0.12927891581355788
23, Sertão Central,2015,0.09284189635534147,0.7087438216650059,0.1978318919337453,0.9314767348408365,0.0593561945373231
24, Sertão Central,2016,0.09718262500375516,0.7225490620694983,0.17976878439543428,0.934693267196538,0.06246557813420053
25, Sertão Central,2017,0.1093947026586559,0.6853622315199744,0.20470560813154112,0.9262411179061326,0.07216664891625238
26, Sertão Central,2018,0.11404538889024898,0.6790430901184656,0.2069109182035907,0.8836652140814667,0.07606583411379632
27, Sertão Central,2019,0.10804354979824757,0.6723368281284686,0.21961937068256313,0.8699411011143359,0.08831713500294096
28, Sertão Central ,2013,0.03913744016908063,0.8182341045564742,0.14198717287250576,0.9630379688241353,0.0
29, Sertão Central ,2014,0.03715533492174932,0.7934291144488731,0.16890504884102758,0.9883142404584919,0.0
30, Sertão Central ,2015,0.05120011697250102,0.7964370228409696,0.15188500140993638,0.9565362572998162,0.0
31, Sertão Central ,2016,0.11460743377370114,0.756519816551441,0.12849186931001438,0.9858085173563831,0.0
32, Sertão Central ,2017,0.04397196806748566,0.7945531608243479,0.16103701400196893,0.9546033047615387,0.04133151396345031
33, Sertão Central ,2018,0.047038199516901226,0.8071990260882981,0.14576335874182178,0.977581326168314,0.020355332181812368
34, Sertão Central ,2019,0.056837749780106785,0.751368678121761,0.19179670304712115,0.9882896156869154,0.01005162952689759
35, Sobral,2013,0.07511058668437608,0.6632664050717493,0.26069719235053884,0.9697580993100519,0.020641420082150447
36, Sobral,2014,0.10041763200892691,0.6840732670648653,0.27860602711667537,0.9199236584074642,0.07305771261565419
37, Sobral,2015,0.09846620517527124,0.6842845984516329,0.2854126703746111,0.9389661572455638,0.06423798030829503
38, Sobral,2016,0.11822648825168623,0.6727408559734285,0.26356439792825587,0.9431711956810639,0.060946915296418776
39, Sobral,2017,0.10772797472591708,0.6587233459793875,0.29240485693660256,0.9672533692766897,0.0532569801236517
40, Sobral,2018,0.12089411967068384,0.6541482563745029,0.29062400078575173,0.9287406808278308,0.055485933437484015
41, Sobral,2019,0.11608963656629802,0.6459197550145978,0.3060049154561584,0.9498721471079391,0.0604264218102164
